Original Image,Swapped Image,Generated Image,Fix Char Const,Head Turn Usable,Eye Gaze Usable,Reference Angle,Front Angle,Edit Prompt,Analysis
https://content.dashtoon.ai/user-uploaded-files/ee6e6b48-efc7-4ea3-ad0f-7853f2747a22.png,https://content.dashtoon.ai/stability-images/c2e2ea42-5663-422f-a8fe-e1d356d0d890.png,https://dev-content.dashtoon.ai/stability-images/d494f44e-6a95-4697-a3e9-f898c241fd46.png,Yes,,,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Set both eyes to look directly upward, open the mouth to expose upper teeth with a tense, concerned expression, and tilt the head slightly to match an upward-looking orientation.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Set both eyes to look directly upward, open the mouth to expose upper teeth with a tense, concerned expression, and tilt the head slightly to match an upward-looking orientation.""
}"
https://content.dashtoon.ai/user-uploaded-files/a0cbc434-9529-4588-a357-e6b7f712c562.png,https://content.dashtoon.ai/stability-images/ac0127c3-3db4-4592-94b9-db1cbf12b264.png,https://dev-content.dashtoon.ai/stability-images/efc45287-396f-48f7-93a1-ccde56371d69.png,No,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front_three_fourth_left.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look directly forward at the camera, close the mouth to a slightly pursed closed state, straighten the head to face directly forward without tilting or turning left, and set the expression to a concerned serious neutral look.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look directly forward at the camera, close the mouth to a slightly pursed closed state, straighten the head to face directly forward without tilting or turning left, and set the expression to a concerned serious neutral look.""
}"
https://content.dashtoon.ai/user-uploaded-files/001400c3-b0f4-4a06-85ed-98648c54ac44.png,https://content.dashtoon.ai/stability-images/6c8beee2-60eb-48b4-a061-7380e6e494b3.png,https://dev-content.dashtoon.ai/stability-images/19fedcb9-f62a-4c83-b7a9-4c8019a42e4d.png,No,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_side.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: adjust eyes to look directly at the camera, turn head to face forward, change expression to a confident closed-mouth red-lipstick smirk, close mouth into the slight upturned smile and remove the concerned look
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""adjust eyes to look directly at the camera, turn head to face forward, change expression to a confident closed-mouth red-lipstick smirk, close mouth into the slight upturned smile and remove the concerned look""
}"
https://content.dashtoon.ai/user-uploaded-files/8ce17d1b-90ef-4362-bd10-e5545aae55ab.png,https://content.dashtoon.ai/stability-images/0bacecb1-bcf2-4694-b6d5-5d622b19a20a.png,https://dev-content.dashtoon.ai/stability-images/2be1155a-cf19-4f23-99c6-99b963df1bef.png,Yes,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Smooth the furrowed forehead to eliminate the worried brow, adjust the facial expression to a serious, concerned look with eyes staring directly at the camera, and set the mouth to a slightly open neutral concerned state without tense facial lines.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Smooth the furrowed forehead to eliminate the worried brow, adjust the facial expression to a serious, concerned look with eyes staring directly at the camera, and set the mouth to a slightly open neutral concerned state without tense facial lines.""
}"
https://content.dashtoon.ai/user-uploaded-files/98dc93c8-94d5-43fc-882d-85c4d6f06c0f.png,https://content.dashtoon.ai/stability-images/fd73534f-f23b-411f-80d2-36f3c0792bbe.png,https://dev-content.dashtoon.ai/stability-images/918f9989-a873-4982-967f-d1418a1ae0ae.png,Yes,,Yes,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front_three_fourth_left.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look slightly toward the viewer's left, tilt the head slightly toward the viewer's right, and refine the facial expression to match a concerned shouting look with this corrected eye direction.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look slightly toward the viewer's left, tilt the head slightly toward the viewer's right, and refine the facial expression to match a concerned shouting look with this corrected eye direction.""
}"
https://content.dashtoon.ai/user-uploaded-files/0f3fd7a7-a84e-424f-b942-f57f62f8b391.png,https://content.dashtoon.ai/stability-images/2cfecd8e-28a9-4b14-9a42-f0e9776892a8.png,https://dev-content.dashtoon.ai/stability-images/3ea474a5-0ed8-4e88-8e70-11ee35eb1ba4.png,No,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Restore long wavy red hair, tilt the head slightly, open the mouth slightly to show upper teeth, adjust the expression to a concerned look, replace the red choker/long necklace with an ornate gold collar necklace, and change the coat to dark leopard-print faux fur.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Restore long wavy red hair, tilt the head slightly, open the mouth slightly to show upper teeth, adjust the expression to a concerned look, replace the red choker/long necklace with an ornate gold collar necklace, and change the coat to dark leopard-print faux fur.""
}"
https://content.dashtoon.ai/user-uploaded-files/8ad15355-d4a2-481e-b2f5-8a3bf473020b.png,https://content.dashtoon.ai/stability-images/4403e5ab-0dbb-4367-9e1e-77e7d859f4bc.png,https://dev-content.dashtoon.ai/stability-images/074cb533-ae83-486d-92a9-76023d7ee364.png,Yes,,,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/gali_para_frontend.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/gali_para_frontend.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look directly at the camera, straighten head to face forward without turning left, deepen brow furrows to show a more concerned expression, and adjust mouth to a slightly open concerned speaking shape.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look directly at the camera, straighten head to face forward without turning left, deepen brow furrows to show a more concerned expression, and adjust mouth to a slightly open concerned speaking shape.""
}"
https://content.dashtoon.ai/user-uploaded-files/9fc0d2a6-094a-47f8-9be6-5daf188f4f2a.png,https://content.dashtoon.ai/stability-images/661f2092-998c-4aa3-a82b-f86c6e8d18c4.png,https://dev-content.dashtoon.ai/stability-images/896e1570-a2c2-4804-8426-5ea0d5d8223f.png,No,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: furrow the eyebrows to create a concerned expression, tilt the head slightly, adjust the closed mouth to have a slight downturn, remove the blue beanie and restore the brown hair with loose strands falling to the face
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""furrow the eyebrows to create a concerned expression, tilt the head slightly, adjust the closed mouth to have a slight downturn, remove the blue beanie and restore the brown hair with loose strands falling to the face""
}"
https://content.dashtoon.ai/user-uploaded-files/b6206347-fcbb-445b-a6cb-2bf353e1bd74.png,https://content.dashtoon.ai/stability-images/6134ff6f-5c7e-4eb4-8293-6a1a01c764ca.png,https://dev-content.dashtoon.ai/stability-images/9165a732-b2e6-4f5b-8897-4d07682d0734.png,No,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look directly at the camera, tilt the head to the person's right, open the mouth to show upper teeth, apply bright red lipstick, and set the expression to a speaking, concerned look.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look directly at the camera, tilt the head to the person's right, open the mouth to show upper teeth, apply bright red lipstick, and set the expression to a speaking, concerned look.""
}"
https://content.dashtoon.ai/user-uploaded-files/58b6deb0-696c-4fab-ad55-146d7997591b.png,https://content.dashtoon.ai/stability-images/ab178005-fcf8-40fe-a1c6-d730c6d20549.png,https://dev-content.dashtoon.ai/stability-images/d99c40d5-bf17-4c56-997c-65aa2df568c5.png,Yes,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/gali_para_frontend.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/gali_para_frontend.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look downwards instead of straight ahead, shift facial expression to show concerned focus looking down, and adjust the mouth to a slightly open concerned shape with the head tilted slightly down.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look downwards instead of straight ahead, shift facial expression to show concerned focus looking down, and adjust the mouth to a slightly open concerned shape with the head tilted slightly down.""
}"
https://content.dashtoon.ai/user-uploaded-files/00482712-8df4-4c0c-b404-cfbd3f4acb0c.png,https://content.dashtoon.ai/stability-images/b4bd6dc0-803f-474a-9523-aa7f6cd9e972.png,https://dev-content.dashtoon.ai/stability-images/112934bd-048d-49de-a2d7-804d4cd67ac2.png,No,,Yes,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Set eye gaze to look directly at the camera, turn head to face forward, adjust mouth to be slightly open with red lipstick in a concerned downturned shape, and refine the brow to have a furrowed concerned expression.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Set eye gaze to look directly at the camera, turn head to face forward, adjust mouth to be slightly open with red lipstick in a concerned downturned shape, and refine the brow to have a furrowed concerned expression.""
}"
https://content.dashtoon.ai/user-uploaded-files/a81a389c-ebde-480f-8896-67ef10ec4fcc.png,https://content.dashtoon.ai/stability-images/87e6b020-0627-4264-a443-a43f8476f8bf.png,https://dev-content.dashtoon.ai/stability-images/998a847c-6529-4e9d-9c12-dbc46145dd1c.png,Yes,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_side.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Turn head slightly to the left, set facial expression to a concerned intense look, adjust mouth to be slightly open showing upper teeth, and keep eyes looking directly at the camera while matching the angled head position.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Turn head slightly to the left, set facial expression to a concerned intense look, adjust mouth to be slightly open showing upper teeth, and keep eyes looking directly at the camera while matching the angled head position.""
}"
https://content.dashtoon.ai/user-uploaded-files/2ed7f09e-a68c-4f02-9ba4-5a1495c62c6f.png,https://content.dashtoon.ai/stability-images/4c556f19-2a59-47ea-b34a-b144dbe50640.png,https://dev-content.dashtoon.ai/stability-images/5571edd0-56e2-4e99-b9ee-ff9089907cd5.png,Yes,,No,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust eye gaze to look towards the viewer's left, turn head slightly towards the viewer's right, set mouth to be open showing upper teeth with a concerned speaking expression
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust eye gaze to look towards the viewer's left, turn head slightly towards the viewer's right, set mouth to be open showing upper teeth with a concerned speaking expression""
}"
https://content.dashtoon.ai/user-uploaded-files/e6f9e324-d551-45da-80ae-e25c2d788180.png,https://content.dashtoon.ai/stability-images/b8e6504b-b5bc-4d11-9949-0fad46bd8fc4.png,https://dev-content.dashtoon.ai/stability-images/d2223ee1-197d-4efb-961e-fa92ff9b2660.png,No,,,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front_three_fourth_left.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Replace the blue beanie with dark brown hair pulled back with loose strands framing the face, adjust eye gaze to look toward the viewer's left, shift head to turn slightly toward the viewer's left, adjust mouth to be slightly open showing upper teeth, and set facial expression to concerned.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Replace the blue beanie with dark brown hair pulled back with loose strands framing the face, adjust eye gaze to look toward the viewer's left, shift head to turn slightly toward the viewer's left, adjust mouth to be slightly open showing upper teeth, and set facial expression to concerned.""
}"
https://content.dashtoon.ai/user-uploaded-files/a1b42634-ffa3-4a16-9e78-5f1be3e69903.png,https://content.dashtoon.ai/stability-images/8d987a21-6d85-44f0-b8a2-667bff6e2127.png,https://dev-content.dashtoon.ai/stability-images/e0d1196c-49ae-46fa-b72d-b585dddb356f.png,Yes,,Yes,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_three_quart_left.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Adjust the head to tilt slightly backward, widen the mouth fully to show teeth and tongue in an aggressive shouting state, and ensure the eyes are wide open looking fully to the left in an angry expression.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Adjust the head to tilt slightly backward, widen the mouth fully to show teeth and tongue in an aggressive shouting state, and ensure the eyes are wide open looking fully to the left in an angry expression.""
}"
https://content.dashtoon.ai/user-uploaded-files/03d56a11-2e72-4f62-9dc0-007a95c912c5.png,https://content.dashtoon.ai/stability-images/0a5ad6fa-f5df-44f5-99d1-9df64cf7a19a.png,https://dev-content.dashtoon.ai/stability-images/cbbdbb33-023d-4121-bf31-114a02fd34ca.png,No,,,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_side.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,"Edit ONLY the character's visual appearance in Image 1. DO NOT change pose, position, or composition.

CRITICAL - NEVER CHANGE (from Image 1):
- Character's EXACT body pose, arm positions, leg positions, head tilt, body angle
- Character's EXACT position in the frame (where they are standing/sitting)
- Background, scene, environment - must be PIXEL PERFECT same
- Camera angle, framing, composition, crop
- Lighting and shadows
- Composition

SWAP ONLY these visual features FROM Image 2:
- Face shape and facial features
- Hair color, style, and length
- Clothing appearance (colors, patterns, open/closed state of clothes eg: jacket open vs closed, style)
- Visible accessories (jewelry, glasses, hats, etc.)

- Facial expression fix: Rotate head to face forward towards the camera, adjust eye gaze to look toward the viewer's left, maintain the wide open shouting mouth expression aligned with the forward-facing head.
Think of it like a costume change on the EXACT same character pose. The silhouette and position should be IDENTICAL to Image 1.

Output: Image 1 with ONLY the character's visual appearance changed to match Image 2. Pose and composition UNCHANGED.
","{
  ""facial_fix"": ""Rotate head to face forward towards the camera, adjust eye gaze to look toward the viewer's left, maintain the wide open shouting mouth expression aligned with the forward-facing head.""
}"
